video_id,title,publishedAt,publishtime,views,likes,comments,duration,subscriber_count,duration_seconds,duration_minutes,video_type,thumbnail_url,PublishedDay_Monday,PublishedDay_Saturday,PublishedDay_Sunday,PublishedDay_Thursday,PublishedDay_Tuesday,PublishedDay_Wednesday,Year,Month,Day
mI4menWw2lc,I Created GIANT VIRAL BEAUTY Products,2025-02-22,15:30:17Z,7380059,72419,5072.0,PT26M9S,7260000,1569,26,Full Video,https://i.ytimg.com/vi/mI4menWw2lc/hqdefault.jpg,0,1,0,0,0,0,2025,2,22
FMuJeIFzHq4,WHAT color is THE DRESS ???,2025-02-20,15:58:56Z,5372207,174347,10437.0,PT30S,7260000,30,0,Shorts,https://i.ytimg.com/vi/FMuJeIFzHq4/hqdefault.jpg,0,0,0,1,0,0,2025,2,20
ZsmrwMTFEUk,Investigating UNREALISTIC Ai Products,2025-02-15,15:30:19Z,8265370,137058,7863.0,PT30M50S,7260000,1850,31,Full Video,https://i.ytimg.com/vi/ZsmrwMTFEUk/hqdefault.jpg,0,1,0,0,0,0,2025,2,15
370PVGH49D0,I Bought the MOST UNUSUAL TIKTOK Nails,2025-02-01,15:30:02Z,4540978,55978,2540.0,PT24M32S,7260000,1472,25,Full Video,https://i.ytimg.com/vi/370PVGH49D0/hqdefault.jpg,0,0,0,1,0,0,2025,2,1
nyC6e3O705g,When SMOKE DYED Clothes get WET ?!,2025-01-27,15:30:17Z,1214157,36901,114.0,PT29S,7260000,29,0,Shorts,https://i.ytimg.com/vi/nyC6e3O705g/hqdefault.jpg,1,0,0,0,0,0,2025,1,27
no0xoyJIt1I,I Tested UNUSUAL Viral Tiktok Candy,2025-01-25,15:30:18Z,9225117,101640,7583.0,PT20M38S,7260000,1238,21,Full Video,https://i.ytimg.com/vi/no0xoyJIt1I/hqdefault.jpg,0,1,0,0,0,0,2025,1,25
nMAY8KKSo0I,"Can YOU GUESS $100 vs $10,000 Outfit?!",2025-01-20,15:30:17Z,5588099,187007,264.0,PT37S,7260000,37,1,Shorts,https://i.ytimg.com/vi/nMAY8KKSo0I/hqdefault.jpg,1,0,0,0,0,0,2025,1,20
7xc_OAfs62Y,"I Bought the SAME OUTFIT for $100, $1000, $10,000",2025-01-18,15:30:02Z,4897779,92920,3026.0,PT27M23S,7260000,1643,27,Full Video,https://i.ytimg.com/vi/7xc_OAfs62Y/hqdefault.jpg,0,1,0,0,0,0,2025,1,18
07M7KzXuWiU,Will SMOKE Tie-DYE this T-Shirt?!,2025-01-11,15:30:00Z,4769475,204270,163.0,PT31S,7260000,31,1,Shorts,https://i.ytimg.com/vi/07M7KzXuWiU/hqdefault.jpg,0,1,0,0,0,0,2025,1,11
9U6K_FvLq7A,Attempting to Finish EVERY DIY Project I've Started..,2025-01-04,15:30:02Z,2508742,59648,2126.0,PT16M52S,7260000,1012,17,Full Video,https://i.ytimg.com/vi/9U6K_FvLq7A/hqdefault.jpg,0,0,0,0,1,0,2025,1,4
klZvWPOQ0Ek,"$1,200 SWAROVSKI Advent Calendar (DAY 24)",2024-12-24,15:07:55Z,1989072,148625,1093.0,PT1M19S,7260000,79,1,Shorts,https://i.ytimg.com/vi/klZvWPOQ0Ek/hqdefault.jpg,0,0,0,0,1,0,2024,12,24
JAEvOhnHFO0,$600 BEAUTY ADVENT CALENDAR - Opening ENTIRE thing! (Day 23),2024-12-23,15:30:04Z,4289077,259238,590.0,PT1M13S,7260000,73,1,Shorts,https://i.ytimg.com/vi/JAEvOhnHFO0/hqdefault.jpg,1,0,0,0,0,0,2024,12,23
#NAME?,$600 TIFFANY Advent Calendar (DAY 22),2024-12-22,15:30:00Z,1004136,57605,1240.0,PT1M16S,7260000,76,1,Shorts,https://i.ytimg.com/vi/-bkiBANqgs8/hqdefault.jpg,0,0,1,0,0,0,2024,12,22
X0QBPxTIKZg,I Bought 10 UNUSUAL Beauty Products,2024-12-21,14:30:12Z,5046112,67753,2953.0,PT15M47S,7260000,947,16,Full Video,https://i.ytimg.com/vi/X0QBPxTIKZg/hqdefault.jpg,0,1,0,0,0,0,2024,12,21
hbdbQ7uZG2M,Opening ENTIRE $300 LUSH Advent Calendar (DAY 20),2024-12-20,15:30:21Z,1186987,68561,503.0,PT1M55S,7260000,115,2,Shorts,https://i.ytimg.com/vi/hbdbQ7uZG2M/hqdefault.jpg,0,0,0,0,0,0,2024,12,20
